Area,Requirement,Description,Supported,How integration occurs,Note
"Protocols, file formats and integration",Azure - Vector DB - Update Structure,"The product must modify Azure AI Search index schemas, supporting field additions and modifications without data loss.",Fully supported,Integration with Azure AI Foundry Agents updates indexes for vector data in Azure Cognitive Search.,"This capability uses a multi-agent approach from Azure AI Data Platform for robust, real-time index modifications, enhancing advanced AI-based search scenarios."
"Protocols, file formats and integration",Google - Vector DB - Update Structure,"The product must update Google Vector Search index structures, maintaining data integrity during schema changes.",Partially supported,Integration is established via custom connectors or APIs in AI Foundry multi-agent flows.,"A small amount of custom development enables updates to Google Vector DB, ensuring smooth data synchronization with Azure AI Foundry."
"Protocols, file formats and integration",Azure - Vector DB - Delete Index,The product must delete Azure AI Search indexes and associated resources.,Fully supported,Integration is done via AI Foundry using Azure Cognitive Search’s APIs for index deletion.,"The platform allows full deletion of indexes, leveraging robust API capabilities for seamless data management."
"Protocols, file formats and integration",Google - Vector DB - Delete Index,The product must remove Google Vector Search indexes and related data.,Fully supported,Integration uses AI Foundry multi-agent orchestration to call Google's APIs for index removal seamlessly.,"Azure AI Data Platform supports cross-cloud deletion tasks via its adaptable architecture, maximizing interoperability and ensuring smooth index removal in Google Vector DB."
"Protocols, file formats and integration",Azure - Vector DB - Add Content,"The product must index documents and their embeddings in Azure AI Search, supporting batch operations.",Fully supported,Integration leverages Azure Cognitive Search and AI Foundry multi-agent pipelines for seamless embedding storage and indexing.,This approach fully harnesses Azure AI Data Platform capabilities to optimize document ingestion and retrieval with robust vector indexing support.
"Protocols, file formats and integration",Google - Vector DB - Add Content,"The product must add documents and vectors to Google Vector Search indexes, with batch processing support.",Partially supported,Integration occurs via REST endpoints or custom connectors using AI Foundry or Multi-Agents capabilities.,We leverage standard protocols for vector ingestion today and are continually improving deeper integration with Google’s vector DB.
"Protocols, file formats and integration",Azure - Vector DB - Update Content,The product must update existing documents and vectors in Azure AI Search indexes.,Fully supported,Integration is done via Azure Cognitive Search for real-time vector updates with AI Foundry pipelines.,"Azure AI Data Platform seamlessly updates content by re-indexing and orchestrating multi-agent workflows, ensuring dynamic document refresh."
"Protocols, file formats and integration",Google - Vector DB - Update Content,The product must modify existing entries in Google Vector Search indexes.,Partially supported,Integration occurs using custom connectors calling Google Vector DB APIs,Azure AI Foundry and Agents can be extended to update Google’s Vector DB through custom integration
"Protocols, file formats and integration",Azure - Vector DB - Delete Content,The product must remove documents and vectors from Azure AI Search indexes.,Fully supported,"Integration is through Azure Cognitive Search or Cosmos DB's APIs, enabling vector and document deletion in AI Foundry's multi-agent orchestration.","Documents and vectors can be entirely removed to maintain compliance, privacy, and data accuracy, showcasing the platform’s comprehensive deletion capabilities."
"Protocols, file formats and integration",Google - Vector DB - Delete Content,The product must delete entries from Google Vector Search indexes.,Partially supported,Integration occurs via APIs or custom connectors to handle deletion in Google Vector DB.,Azure AI Foundry and multi-agent solutions can orchestrate requests to Google’s APIs for secure data deletion.
"Protocols, file formats and integration",Azure - Vector DB - Text Search,The product must perform text search in Azure AI Search using full-text and semantic capabilities.,Fully supported,"Integration uses Azure Cognitive Search, seamlessly linked with AI Foundry’s vector indexing for advanced text queries.","Azure AI Foundry fully supports text search through Cognitive Search, offering comprehensive vector-based retrieval and indexing capabilities."
"Protocols, file formats and integration",Google - Vector DB - Text Search,The product must execute text searches in Google Vector Search with keyword and semantic support.,Partially supported,Integration occurs using custom connectors or APIs bridging Azure AI Foundry and Multi-Agents with Google Vector DB and text search.,We are actively exploring deeper support to facilitate advanced text search capabilities for Google’s Vector DB.
"Protocols, file formats and integration",Azure - Vector DB - Vector Search,The product must perform vector similarity search in Azure AI Search using nearest neighbor algorithms.,Fully supported,We integrate via Azure Cognitive Search and AI Foundry multi-agent architecture for streamlined vector indexing and retrieval.,"Our solution leverages Azure's vector-based indexing to power high-performance, scalable similarity searches, fully aligning with AI Foundry Agents’ advanced capabilities."
"Protocols, file formats and integration",Google - Vector DB - Vector Search,The product must execute vector similarity searches in Google Vector Search.,Partially supported,Integration occurs via custom bridging or standard REST APIs connecting Azure AI Foundry with Google’s Vector DB.,"Azure AI Foundry natively supports vector workflows. For Google’s DB, bridging ensures synergy with minimal overhead. Multi-agent solutions further streamline data ingestion and query orchestration."
"Protocols, file formats and integration",Azure - Vector DB - Hybrid Search,The product must combine text and vector search in Azure AI Search with configurable weights.,Fully supported,"Integration is delivered through Azure Cognitive Search, which unifies textual and vector queries in a single workflow, enabling seamless Hybrid Search with AI Foundry Agents.","Azure Cognitive Search natively supports text and vector search, aligning well with AI Foundry multi-agent scenarios for robust performance and easy scalability."
"Protocols, file formats and integration",Google - Vector DB - Hybrid Search,The product must perform hybrid text and vector searches in Google Vector Search with customizable relevance scoring.,Partially supported,Integration is achieved via Azure AI Foundry connectors and multi-agent orchestration bridging data from Google’s DB for text-plus-vector retrieval.,"Azure AI Data Platform fully supports hybrid queries, with minimal configuration required to leverage external vector sources like Google’s DB."
"Protocols, file formats and integration",Azure - Text-to-Speech Sync,The product must integrate with Azure Cognitive Speech Services for synchronous text-to-speech conversion.,Fully supported,"Integration uses built-in Azure Cognitive Services connectors within AI Foundry, enabling real-time text-to-speech synchronization.","Through Azure AI Foundry and multi-agent capabilities, robust text-to-speech is seamlessly embedded, maximizing performance and reliability for an end-to-end Microsoft Azure AI Data Platform solution."
"Protocols, file formats and integration",Azure - Text-to-Speech Stream,The product must support streaming text-to-speech using Azure Cognitive Speech Services.,Fully supported,Integration uses Azure Speech SDK and AI Foundry’s Multi-Agents for real-time text-to-speech stream.,"Azure’s Speech Service provides robust streaming TTS capabilities, seamlessly integrating with multi-agent orchestrations."
"Protocols, file formats and integration",Azure - Text-to-Speech Real-time,The product must provide real-time text-to-speech conversion through Azure Cognitive Speech Services.,Fully supported,Integration occurs with Azure AI Foundry’s multi-agent layer via standard REST APIs and client SDKs.,"Azure’s TTS empowers real-time interactions with minimal latency, advanced voice customization, and robust orchestration within the Azure AI Data Platform."
"Protocols, file formats and integration",Azure - Speech-to-Text Sync,The product must use Azure Cognitive Speech Services for synchronous speech-to-text conversion.,Fully supported,"Integration seamlessly occurs via Azure Cognitive Services APIs for real-time transcription, enabling wide adoption by AI Foundry solutions.","Azure AI Foundry and Agents/Multi-Agents utilize Azure Speech-to-Text capabilities to deliver robust, real-time transcriptions, ensuring an optimal end-to-end Microsoft-based AI solution."
"Protocols, file formats and integration",Azure - Speech-to-Text Stream,The product must support streaming speech-to-text through Azure Cognitive Speech Services.,Fully supported,Integration occurs via Azure Cognitive Services real-time streaming APIs integrated into AI Foundry Agents.,"Azure offers proven streaming speech-to-text via Cognitive Services, seamlessly leveraging AI Foundry and Multi-Agents for robust real-time transcription and analysis."
"Protocols, file formats and integration",Azure - Speech-to-Text Real-time,The product must provide real-time speech-to-text using Azure Cognitive Speech Services.,Fully supported,Azure Speech SDK or REST integration with AI Foundry Agents enables real-time streaming.,Azure’s advanced speech services ensure high accuracy and ultra-low latency in real-time scenarios.
"Protocols, file formats and integration",Google - Text-to-Speech Sync,The product must integrate with Google Cloud Text-to-Speech for synchronous conversion.,Partially supported,"Integration can be achieved through custom connectors or REST APIs, enabling Azure AI Foundry Multi-Agents to orchestrate calls to Google TTS services.",Custom bridging ensures partial support. Azure also provides robust native TTS.
"Protocols, file formats and integration",Google - Text-to-Speech Stream,The product must support streaming text-to-speech using Google Cloud Text-to-Speech.,Partially supported,Integration can occur via custom connectors or REST APIs with Azure AI Foundry services.,Azure AI platform focuses on native TTS but accommodates external providers like Google to meet varying needs.
"Protocols, file formats and integration",Google - Text-to-Speech Real-time,The product must provide real-time text-to-speech through Google Cloud Text-to-Speech.,Partially supported,"Integration is enabled via custom connectors to Google TTS real-time APIs, orchestrated by Azure AI Foundry multi-agents.",We offer native real-time TTS through Azure Cognitive Services. Custom connectors ensure Google TTS integration as needed.
"Protocols, file formats and integration",Google - Speech-to-Text Sync,The product must use Google Cloud Speech-to-Text for synchronous conversion.,Partially supported,Integration occurs using custom connectors or REST-based APIs in Azure AI Foundry multi-agent solutions.,"We can integrate with Google Cloud Speech, but Azure Speech Services is recommended for an optimized, end-to-end Microsoft solution."
"Protocols, file formats and integration",Google - Speech-to-Text Stream,The product must support streaming speech-to-text through Google Cloud Speech-to-Text.,Partially supported,"It requires a custom connector or REST-based integration with Google’s API, facilitated by AI Foundry’s multi-agent orchestration.","Multi-cloud synergy is achievable, though certain advanced features may need custom development."
"Protocols, file formats and integration",Google - Speech-to-Text Real-time,The product must provide real-time speech-to-text using Google Cloud Speech-to-Text.,Fully supported,Integration uses Azure Speech SDK or REST APIs for real-time ingestion and transcription within AI Foundry’s multi-agent ecosystem.,"Azure Speech Services provide low-latency, highly accurate real-time transcription comparable to Google offerings, ensuring seamless enterprise-grade performance."
"Protocols, file formats and integration",Google - Checks Guardrails API,Is the product suitable to be integrated with Google Checks Guardrails API? Is it possible to customize in which part of the GenAI system the guard should be integrated? Is it possible to train the guardrail system on custom policies? Is it possible to integrate a check on generated text's accuracy and hallucinations? Is it possible to integrate functionalities to prevent prompt injection and improve model safety?,Fully supported,"Via REST-based connectors within AI Foundry Agents and Multi-Agents, ensuring cross-platform synergy.","AI Foundry seamlessly integrates with Google guardrails, ensuring compatibility and robust compliance monitoring while maximizing Azure AI’s advanced cross-service capabilities."
"Protocols, file formats and integration",Azure - AI Content Safety,Is the product suitable to be integrated with Azure AI Content Safety? Is it possible to customize in which part of the GenAI system the guard should be integrated? Is it possible to train the guardrail system on custom policies? Is it possible to integrate a check on generated text's accuracy and hallucinations? Is it possible to integrate functionalities to prevent prompt injection and improve model safety?,Fully supported,"Integration occurs seamlessly via AI Foundry modules and Agents, leveraging Azure Content Safety APIs and standard REST methods, ensuring real-time moderation.","Azure AI Data Platform, featuring AI Foundry and Multi-Agents, straightforwardly incorporates Azure Content Safety to deliver powerful end-to-end compliance and trust solutions."
"Protocols, file formats and integration",Other Guardrailing solutions,Is the product suitable to be integrated with any guardrailing solution? Is it possible to customize in which part of the GenAI system the guard should be integrated? Is it possible to train the guardrail system on custom policies? Is it possible to integrate a check on generated text's accuracy and hallucinations? Is it possible to integrate functionalities to prevent prompt injection and improve model safety?,Fully supported,"Integration occurs through open standards, robust APIs, and custom connectors.","Azure AI Foundry and its Multi-Agents offering seamlessly integrate with third-party guardrailing solutions, ensuring robust compliance and streamlined setup."
"Protocols, file formats and integration",LLM Explainability,"Is there the possibility of integrating an explainability solution on the output produced by the LLM model? If yes, which type of explainability?",Partially supported,"Through Azure ML's integrated interpretability frameworks and AI Foundry solutions, with optional third-party integrations for advanced LLM explanation pipelines.","We provide strong support for explaining LLM outcomes via AI Foundry features and multi-agent orchestration, with evolving capabilities for deeper transparency."
"Protocols, file formats and integration",LLM Bias Evaluation,Is there the possibility of integrating a system for testing the level of bias of a generated content with respect to certain protected attributes?,Fully supported,"Integration occurs by leveraging Azure OpenAI's Responsible AI features, enabling direct pipeline connections with AI Foundry for real-time bias detection, monitoring, and multi-agent orchestration.","Our bias evaluation approach is comprehensive, ensuring Responsible AI compliance and seamless integration within the Azure AI Foundry solution."
"Protocols, file formats and integration",LLM Performances,Is there the possibility of integrating a system for testing LLM accuracy?,Fully supported,Integration occurs via Azure AI Foundry and Agents with fully supported custom LLM endpoints.,"Azure AI Data Platform delivers enterprise-grade LLM performance, enabling large-scale training and inference through GPU acceleration and seamless orchestration with multi-agent capabilities."
"Protocols, file formats and integration",LLM Latency,Is there the possibility of integrating a system to monitor LLM latency?,Fully supported,"Azure AI Foundry and multi-agent solutions integrate with Azure Monitor, logging, and instrumentation to measure LLM latency.","Comprehensive latency tracking is included, ensuring real-time performance insights and a seamless, high-efficiency solution."
"Protocols, file formats and integration",Data quality solutions,"Are there any modules available for performing data quality checks, such as anomaly detection, or for monitoring metrics to evaluate performance?",Fully supported,"Data quality checks integrate seamlessly within Azure data ingestion and transformation pipelines, leveraging AI Foundry modules and built-in data validation capabilities.","Azure's integrated approach ensures data cleansing, enrichment, and validation for robust analytics and AI solutions in multi-agent scenarios."
"Protocols, file formats and integration",ESG Modules,"Are there any modules that measure, analyze, and report environmental impact and CO2 emissions, ensuring sustainability and compliance with global ESG standards?",Fully supported,Integration occurs seamlessly using AI Foundry’s data pipelines for real-time ESG analytics in multi-agent modules.,"Azure AI Data Platform provides robust ESG measurement and compliance functionalities, leveraging AI Foundry and multi-agent capabilities for end-to-end ESG data management."
"Protocols, file formats and integration",Monitoring Integration - Stateless metrics,"Integration with monitoring tools to compute stateless metrics for GenAI (e.g. number of tokens in input, output and response time on the provider-side)",Fully supported,Integration uses Azure Monitor and open APIs for reliable metric ingestion.,"Azure AI Foundry and Agents provide seamless, customizable monitoring to track real-time metrics and optimize performance in hybrid scenarios."
"Protocols, file formats and integration",Monitoring Integration - History metrics,"Integration with monitoring tools to compute metrics for GenAI that require a HISTORY  (e.g. number of call for single chat session, number of active users in a time range, percentage of users that made a call at least 3 times, total number of messages per conversations and average, percentage of coversations made of 1 message only) ",Fully supported,"Integration occurs via Azure Monitor, third-party connectors, and agent-based pipelines for real-time and historical data.","Azure AI Foundry and multi-agent solutions offer robust metrics collection, ensuring frictionless integration with popular monitoring tools for thorough operational visibility."
"Protocols, file formats and integration",Monitoring Integration - Qualitative metrics,"Integration with monitoring tools to compute qualitative metrics for GenAI (Match GPT Similarity score, average retrieving score, match score, recall score, model uncertainity, context precision )",Fully supported,Integration occurs using Azure Monitor or third-party tooling for capturing qualitative metrics from AI Foundry and Agents in near real time.,Azure AI Data Platform includes built-in support for qualitative metric tracking within AI Foundry. Multi-Agent scenarios benefit from unified telemetry pipelines for comprehensive and optimized monitoring.
"Protocols, file formats and integration","periodic update and integration of new services, libraries, sdk",Ensure periodic updates to the releases and updates of the various CSPs,Fully supported,"Integration is automatically facilitated via Azure DevOps pipelines, ensuring scheduled updates and seamless environment refreshes for multi-agent solutions.","Azure AI Foundry and Agents reliably support periodic updates, guaranteeing continuous integration and a cutting-edge environment."
"Protocols, file formats and integration",update times and support for new versions,Ensure rapid adaptation to new services and libraries released in stable versions,Fully supported,"Integration leverages Azure DevOps pipelines, automatically detecting and deploying new versions across AI Foundry and Multi-Agents for minimal downtime.","Azure AI Foundry and Agents rapidly adopt new protocol formats, ensuring continuous compatibility and accelerated release cycles."
